Address;AddressFM;location;point;Lat;Long
Ingelheimer Straße;Frankfurt am Main Ingelheimer Straße;Ingelheimer Straße, Schwanheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60529, Deutschland;50.0875383, 8.5728652, 0.0;50.0875383; 8.5728652
Ingolstädter Straße;Frankfurt am Main Ingolstädter Straße;Ingolstädter Straße, Nordend Ost, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60316, Deutschland;50.121122, 8.7018256, 0.0;50.121122; 8.7018256
Inheidener Straße;Frankfurt am Main Inheidener Straße;Inheidener Straße, Bornheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60385, Deutschland;50.1322437, 8.7166069, 0.0;50.1322437; 8.7166069
Inselgäßchen;Frankfurt am Main Inselgäßchen;Inselgäßchen, Rödelheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60489, Deutschland;50.1227195, 8.6140969, 0.0;50.1227195; 8.6140969
Inselsbergstraße;Frankfurt am Main Inselsbergstraße;Inselsbergstraße, Unterliederbach, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 65929, Deutschland;50.1116524, 8.5358537, 0.0;50.1116524; 8.5358537
Insterburger Straße;Frankfurt am Main Insterburger Straße;Insterburger Straße, Bockenheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60487, Deutschland;50.1267108, 8.6251871, 0.0;50.1267108; 8.6251871
Intzestraße;Frankfurt am Main Intzestraße;Intzestraße, Osthafen, Ostend, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60314, Deutschland;50.1161575, 8.7279696, 0.0;50.1161575; 8.7279696
Iselinstraße;Frankfurt am Main Iselinstraße;Iselinstraße, Riederwald, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60386, Deutschland;50.126708, 8.7389576, 0.0;50.126708; 8.7389576
Isenburger Schneise;Frankfurt am Main Isenburger Schneise;Isenburger Schneise, Sachsenhausen Süd, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60598, Deutschland;50.0591618, 8.6949455, 0.0;50.0591618; 8.6949455
Isenburgstraße;Frankfurt am Main Isenburgstraße;Isenburgstraße, Bergen-Enkheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60388, Deutschland;50.1575626, 8.7550979, 0.0;50.1575626; 8.7550979
Jacob-Schiff-Straße;Frankfurt am Main Jacob-Schiff-Straße;Jacob-Schiff-Straße, Dornbusch, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60433, Deutschland;50.1477632, 8.6689007, 0.0;50.1477632; 8.6689007
Jacobystraße;Frankfurt am Main Jacobystraße;Jacobystraße, Ostend, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60385, Deutschland;50.1189984, 8.7151472, 0.0;50.1189984; 8.7151472
Jägerallee;Frankfurt am Main Jägerallee;Jägerallee, Griesheim, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 65933, Deutschland;50.1011333, 8.5909445, 0.0;50.1011333; 8.5909445
Jahnstraße;Frankfurt am Main Jahnstraße;Jahnstraße, Nordend West, Frankfurt, Regierungsbezirk Darmstadt, Hessen, 60318, Deutschland;50.1204724, 8.6824008, 0.0;50.1204724; 8.6824008
